,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
1902,（株）モードフロンティア,1330001014592,熊本県,中小企業,,,1014,,,,,,,,20200215
1903,（有）森川哲朗建築設計事務所,2290802010141,福岡県,中小企業,,,926,,,,,,,,20200215
1904,（株）森下建築総研,1120001096181,大阪府,中小企業,,,1007,-01,,,,,,,20200215
1905,（株）森村設計,6011001023446,東京都,中小企業,,,57,,,,,,,,20200215
1906,（株）森緑地設計事務所,4010401029699,東京都,中小企業,,,767,,713,,,,,,20200215
1907,（株）内藤建築事務所,4130001025120,京都府,大企業,,,30,,,,,,,,20200215
1908,（株）内藤ハウス,8090001011146,山梨県,大企業,,,142,,,,,,,,20200215
1909,（株）内藤廣建築設計事務所,8010001025137,東京都,中小企業,,,385,,,,,,,,20200215
1910,（株）ナウ環境空間工房,4310001014848,長崎県,中小企業,,,1028,,,,,,,,20200215
1911,（株）中川都市建築設計,2011101015339,東京都,中小企業,,,585,,1715,,,,,,20200215
1912,（株）長澤設計,3290001009166,福岡県,中小企業,,,467,,,,,,,,20200215
1913,永園設計（株）,2340001003073,鹿児島県,中小企業,,,253,,,,,,,,20200215
1914,（株）長田建築企画設計事務所,2350001006042,宮崎県,中小企業,,,504,,,,,,,,20200215
1915,中野設計工務（株）,2021001007229,神奈川県,中小企業,,,715,,,,,,319,,20200215
1916,（株）長野総合建築事務所,1250001011532,山口県,中小企業,,,188,,,,,,417,,20200215
1917,（株）中林建築設計事務所,8280001003297,島根県,大企業,,,106,,,,,,,,20200215
1918,（株）中原建築設計事務所,9450001002256,北海道,中小企業,,,239,,,,,,,,20200215
1919,（有）仲本設計,4360002003250,沖縄県,中小企業,,,724,,,,,,,,20200215
1920,（株）中山建築研究所,4380001024386,福島県,中小企業,,,1123,,,,,,,,20200215
1921,（株）中山構造研究所,9330001003365,熊本県,中小企業,,,920,,,,,,,,20200215
1922,（株）ナカヤマ・トシ設計,8290001056435,福岡県,中小企業,,,599,-01,,,,,,,20200215
1923,（株）那須設計,9350001001219,宮崎県,中小企業,,,1090,,,,,,,,20200215
1924,（株）ナック,3340001003155,鹿児島県,中小企業,,,440,,,,,,,,20200215
1925,（株）ｎｉｃｏ,3290001065382,福岡県,中小企業,,,1134,,,,,,,,20200215
1926,（株）西島建築設計事務所,4290001009512,福岡県,中小企業,,,445,,,,,,,,20200215
1927,（株）ニシトミ興産,9290001000441,福岡県,中小企業,,,1002,,1717,,772,,743,,20200215
1928,西日本高速道路ファシリティーズ（株）,2120901015842,大阪府,大企業,,,696,,,,,,,,20200215
