,airconditioning_exception,airconditioning_financial_score,airconditioning_qualification,airconditioning_rank,airconditioning_technical_score,airconditioning_total_score,asphalt_exception,asphalt_financial_score,asphalt_qualification,asphalt_rank,asphalt_technical_score,asphalt_total_score,bridge_exception,bridge_financial_score,bridge_qualification,bridge_rank,bridge_technical_score,bridge_total_score,bridgemaintenance_exception,bridgemaintenance_financial_score,bridgemaintenance_qualification,bridgemaintenance_rank,bridgemaintenance_score,bridgemaintenance_technical_score,builiding_exception,builiding_financial_score,builiding_qualification,builiding_rank,builiding_technical_score,builiding_total_score,cement_exception,cement_financial_score,cement_qualification,cement_rank,cement_technical_score,cement_total_score,ceo_name,civilengineering_exception,civilengineering_financial_score,civilengineering_qualification,civilengineering_rank,civilengineering_technical_score,civilengineering_total_score,communication_exception,communication_financial_score,communication_qualification,communication_rank,communication_technical_score,communication_total_score,date,dredging_exception,dredging_financial_score,dredging_qualification,dredging_rank,dredging_technical_score,dredging_total_score,electricity_exception,electricity_financial_score,electricity_qualification,electricity_rank,electricity_technical_score,electricity_total_score,firm_address,firm_id,firm_name,grout_exception,grout_financial_score,grout_qualification,grout_rank,grout_technical_score,grout_total_score,landscaping_exception,landscaping_financial_score,landscaping_qualification,landscaping_rank,landscaping_technical_score,landscaping_total_score,machinery_exception,machinery_financial_score,machinery_qualification,machinery_rank,machinery_technical_score,machinery_total_score,maintenance_exception,maintenance_financial_score,maintenance_qualification,maintenance_rank,maintenance_technical_score,maintenance_total_score,painting_exception,painting_financial_score,painting_qualification,painting_rank,painting_technical_score,painting_total_score,prefab_exception,prefab_financial_score,prefab_qualification,prefab_rank,prefab_technical_score,prefab_total_score,prestressed_exception,prestressed_financial_score,prestressed_qualification,prestressed_rank,prestressed_technical_score,prestressed_total_score,slope_exception,slope_financial_score,slope_qualification,slope_rank,slope_technical_score,slope_total_score,stakeout_exception,stakeout_financial_score,stakeout_qualification,stakeout_rank,stakeout_technical_score,stakeout_total_score,substation_exception,substation_financial_score,substation_qualification,substation_rank,substation_technical_score,substation_total_score,well_exception,well_financial_score,well_qualification,well_rank,well_technical_score,well_total_score,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_technical_score,woodenbuiliding_total_score
3093,,875,C,398,0,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴田　正道,,,,,,,,979,○,322,0,979,20211201,,,,,,,,1286,B,93,868,2154,愛知県名古屋市昭和区鶴舞３－１６－３０,3180001008121,（株）川瀬電気工業所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037,○,226,0,1037,,,,,,,,,,,,
3094,,844,C,465,0,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,河崎　哲昇,,,,,,,,828,○,180,634,1462,20211201,,,,,,,,1004,B,33,1449,2453,山口県下関市長府港町７－１７,2250001005260,（株）カワサキコーポレーション,,,,,,,,,,,,,,743,○,628,0,743,,875,○,1093,0,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,○,337,0,882,,,,,,,,,,,,
3095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,橋本　康彦,,,,,,,,,,,,,20211201,,,,,,,,1356,B,122,708,2064,東京都港区海岸１－１４－５,1140001005719,川崎重工業（株）,,,,,,,,,,,,,,1627,○,33,900,2527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678,○,86,0,1678,,,,,,,,,,,,
3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,赤畠　貞宏,,,,,,,,,,,,,20211201,,,,,,,,1019,B,212,779,1798,京都府京都市中京区三条通西大路西入三条坊町１３,3130001023249,（株）関西電業社,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867,○,355,0,867,,,,,,,,,,,,
3097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,柴田　実智雄,,,,,,,,,,,,,20211201,,,,,,,-01,1096,B,45,1239,2335,福岡県北九州市小倉北区赤坂５－６－２７,8290801001490,（株）きたせつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,木多　俊博,,,,,,,,,,,,,20211201,,,,,,,,988,B,162,941,1929,岡山県岡山市中区平井２―２３１２―１,6260001001973,（株）木多電気設備,,,,,,,,,,,,,,,,,,,,913,○,1011,0,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893,○,324,0,893,,,,,,,,,,,,
3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,今村　正雄,,,,,,,,750,○,516,0,750,20211201,,,,,,,,905,B,56,1368,2273,山口県下関市長府扇町１０－２６,8250002008736,（有）北野電気産業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,朝倉　真一,,,,,,,,,,,,,20211201,,,,,,,,909,B,203,916,1825,鳥取県倉吉市旭田町３６番地,1270001004988,北村電気工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,木原　謙一,,,,,,,,,,,,,20211201,,,,,,,,842,B,105,1287,2129,鳥取県鳥取市的場１６４番地６,4270002000546,キハラ電気工事（有）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,○,514,0,760,,,,,,,,,,,,
3102,,915,C,322,0,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山下　誉議,,,,,,,,753,○,512,0,753,20211201,,,,,,,,1056,B,66,1186,2242,鳥取県鳥取市田園町３－１０１,4270001000175,（株）吉備総合電設,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,○,315,0,904,,,,,,,,,,,,
3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,池上　秀一,,,,,,,,769,○,496,0,769,20211201,,,,,,,,1025,B,50,1296,2321,福岡県北九州市小倉北区西港町３０－４,9290801001119,九昭電設工業（株）,,,,,,,,,,,,,,,,,,,,878,○,466,851,1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,○,344,0,878,,,,,,,,,,,,
3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,戸子台　努,,,,,,,,1095,○,271,0,1095,20211201,,,,,,,,1418,B,10,1215,2633,神奈川県横浜市鶴見区平安町二丁目２９番の１,6020001017093,（株）京三製作所,,,,,,,,,,,,,,1133,○,281,0,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162,○,181,0,1162,,,,,,,,,,,,
3105,,958,C,247,0,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,富井　弘之,,,,,,,,829,○,423,0,829,20211201,,,,,,,,1354,B,1,1383,2737,東京都世田谷区新町１－２１－１２,6010901003251,旭日電気工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082,○,204,0,1082,,,,,,,,,,,,
3106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,坂本　惠一,,,,,,,,840,○,410,0,840,20211201,,,,,,,,891,B,191,950,1841,大阪府大阪市北区天満３－９－６,3120001063056,近畿設備（株）,,,,,,,,,,,,,,929,○,76,1251,2180,,914,○,365,951,1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852,○,375,0,852,,,,,,,,,,,,
3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,櫛田　昌宏,,,,,,,,,,,,,20211201,,,,,,,,794,B,141,1203,1997,岡山県津山市平福５９５,1260001019715,（株）櫛田電気,,,,,,,,,,,,,,,,,,,,709,○,1862,0,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,○,571,0,709,,,,,,,,,,,,
3108,,1105,C,124,0,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,増田　裕司,,,,,,,,1167,○,244,0,1167,20211201,,,,,,,,1516,B,28,968,2484,大阪府大阪市北区西天満４－８－１７　宇治電ビルディング６階,9120001063141,（株）クリハラント,,,,,,,,,,,,,,1107,○,290,0,1107,,1244,○,758,0,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287,○,138,0,1287,,,,,,,,,,,,
3109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二階堂　義則,,,,,,,,1118,○,49,1217,2335,20211201,,,,,,,,1198,B,82,1006,2204,東京都港区芝公園２－６－３,8010401009458,（株）ケーネス,,,,,,,,,,,,,,,,,,,,1148,○,800,0,1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,○,18,1254,2431,,,,,,,,,,,,
