,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_technical_score,woodenbuiliding_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,airconditioning_qualification,airconditioning_rank,airconditioning_exception,airconditioning_financial_score,airconditioning_technical_score,airconditioning_total_score,cement_qualification,cement_rank,cement_exception,cement_financial_score,cement_technical_score,cement_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,slope_qualification,slope_rank,slope_exception,slope_financial_score,slope_technical_score,slope_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,stakeout_qualification,stakeout_rank,stakeout_exception,stakeout_financial_score,stakeout_technical_score,stakeout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,prefab_qualification,prefab_rank,prefab_exception,prefab_financial_score,prefab_technical_score,prefab_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,communication_qualification,communication_rank,communication_exception,communication_financial_score,communication_technical_score,communication_total_score,substation_qualification,substation_rank,substation_exception,substation_financial_score,substation_technical_score,substation_total_score,date
20,（株）竹中土木,竹中　康一,東京都江東区新砂１－１－１,4010601030580,A,15,,1810,1919,3729,B,347,,1236,0,1236,○,146,,1163,0,1163,B,21,,1182,0,1182,C,474,,1290,0,1290,,,,,,,,,,,,,,,,,,,○,67,,1148,0,1148,○,75,,1367,0,1367,○,30,,1425,872,2297,,,,,,,○,776,,1351,0,1351,○,91,,1119,0,1119,○,5,,1351,994,2345,○,52,,1163,0,1163,,,,,,,,,,,,,○,268,,1183,0,1183,,,,,,,,,,,,,20191216
21,鉄建建設（株）,伊藤　泰司,東京都千代田区神田三崎町２－５－３,2010001008709,A,18,,1756,1860,3616,B,364,,1141,0,1141,○,139,,1194,0,1194,B,65,,956,0,956,A,18,,1723,1702,3425,○,60,,1283,0,1283,C,270,,987,0,987,B,72,,1070,891,1961,○,68,,1129,0,1129,○,19,,1416,1550,2966,○,325,,1301,0,1301,○,220,,1063,0,1063,○,717,,1443,0,1443,○,147,,882,0,882,○,10,,1301,863,2164,○,44,,1194,0,1194,,,,,,,○,41,,1283,0,1283,○,272,,1179,0,1179,,,,,,,○,245,,987,0,987,20191216
22,東亜建設工業（株）,秋山　優樹,東京都新宿区西新宿３－７－１,3011101055078,A,24,,1792,1716,3508,B,399,,979,0,979,○,130,,1252,0,1252,B,52,,1006,0,1006,B,38,,1666,1045,2711,○,42,,1375,0,1375,C,183,,1110,0,1110,C,138,,1094,0,1094,○,136,,952,0,952,○,37,,1393,899,2292,○,32,,1411,872,2283,○,252,,981,0,981,○,31,,1447,1193,2640,○,1,,1538,1596,3134,○,47,,1367,0,1367,○,61,,1111,0,1111,,,,,,,○,45,,1258,0,1258,○,259,,1214,0,1214,○,231,,1183,0,1183,○,244,,987,0,987,20191216
23,東急建設（株）,寺田　光宏,東京都渋谷区渋谷１－１６－１４,9011001040166,A,17,,1791,1879,3670,B,349,,1215,0,1215,○,135,,1219,0,1219,B,37,,1082,0,1082,A,4,,1858,2136,3994,○,21,,1615,0,1615,C,132,,1264,0,1264,B,22,,1320,871,2191,○,65,,1155,0,1155,○,79,,1338,0,1338,○,4,,1436,1311,2747,○,191,,1239,0,1239,○,775,,1351,0,1351,○,101,,1008,0,1008,○,48,,1351,0,1351,○,40,,1219,0,1219,,,,,,,,,,,,,○,244,,1272,0,1272,○,219,,1255,0,1255,○,168,,1153,0,1153,20191216
24,戸田建設（株）,今井　雅則,東京都中央区京橋１－７－１,6010001034874,A,9,,1964,1962,3926,B,18,,1271,1052,2323,○,95,,1550,0,1550,B,27,,1134,0,1134,A,12,,1980,1705,3685,○,20,,1621,0,1621,C,87,,1457,0,1457,B,14,,1513,707,2220,○,52,,1221,0,1221,○,28,,1478,1027,2505,○,12,,1486,994,2480,○,230,,1042,0,1042,○,61,,1559,913,2472,○,78,,1261,0,1261,○,36,,1486,0,1486,○,26,,1403,0,1403,,,,,,,○,21,,1502,0,1502,○,245,,1272,0,1272,○,216,,1272,0,1272,○,114,,1350,0,1350,20191216
25,飛島建設（株）,乘京　正弘,東京都港区港南１－８－１５　Ｗビル　５Ｆ,8010001008703,A,16,,1770,1929,3699,B,378,,1069,0,1069,○,143,,1177,0,1177,B,56,,986,0,986,A,31,,1710,1465,3175,○,39,,1407,0,1407,C,198,,1090,0,1090,B,122,,1224,548,1772,○,78,,1067,0,1067,○,38,,1216,1044,2260,○,40,,1353,866,2219,○,287,,931,0,931,○,22,,1501,1228,2729,○,87,,1173,0,1173,○,52,,1336,0,1336,○,47,,1177,0,1177,,,,,,,○,33,,1306,0,1306,,,,,,,,,,,,,○,210,,1045,0,1045,20191216
26,あおみ建設（株）,河邊　知之,東京都港区海岸３－１８－２１,6010401076946,B,19,,1620,1511,3131,B,409,,957,0,957,○,169,,1089,0,1089,B,93,,917,0,917,C,551,,1139,0,1139,○,147,,1024,0,1024,,,,,,,,,,,,,○,132,,957,0,957,○,101,,1160,0,1160,○,331,,1261,0,1261,,,,,,,○,68,,1261,1178,2439,○,6,,1378,1325,2703,○,67,,1261,0,1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191216
27,（株）淺川組,池内　茂雄,和歌山県和歌山市小松原通３－６９,4170001000086,B,27,,1399,1574,2973,B,490,,857,0,857,,,,,,,B,116,,857,0,857,B,17,,1453,1424,2877,,,,,,,,,,,,,,,,,,,○,225,,857,0,857,○,125,,1069,0,1069,○,31,,1132,1160,2292,,,,,,,○,370,,1132,745,1877,○,29,,1155,785,1940,,,,,,,○,71,,1069,0,1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191216
28,（株）淺沼組,浅沼　誠,大阪府大阪市浪速区湊町１－２－３マルイト難波ビル,8120001022651,B,3,,1620,1703,3323,B,368,,1114,0,1114,○,132,,1249,0,1249,B,58,,978,0,978,A,15,,1830,1711,3541,○,46,,1352,0,1352,C,171,,1135,0,1135,C,36,,1322,0,1322,○,90,,1025,0,1025,○,43,,1249,754,2003,○,56,,1281,868,2149,○,243,,1011,0,1011,○,225,,1329,752,2081,○,119,,939,0,939,○,63,,1281,0,1281,○,6,,1249,850,2099,,,,,,,○,29,,1352,0,1352,○,299,,1107,0,1107,○,249,,1107,0,1107,○,188,,1097,0,1097,20191216
29,（株）新井組,倉元　正史,兵庫県西宮市池田町１２－２０,9140001067900,B,13,,1361,1823,3184,B,448,,907,0,907,○,41,,1032,1089,2121,B,121,,853,0,853,B,29,,1359,1421,2780,○,120,,1084,0,1084,C,505,,816,0,816,C,206,,984,0,984,○,176,,907,0,907,○,142,,1007,0,1007,○,103,,1125,825,1950,,,,,,,○,19,,1242,1548,2790,○,165,,840,0,840,○,9,,1192,974,2166,○,107,,960,0,960,,,,,,,○,81,,1084,0,1084,○,388,,933,0,933,○,318,,933,0,933,○,406,,816,0,816,20191216
