,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_technical_score,woodenbuiliding_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,airconditioning_qualification,airconditioning_rank,airconditioning_exception,airconditioning_financial_score,airconditioning_technical_score,airconditioning_total_score,cement_qualification,cement_rank,cement_exception,cement_financial_score,cement_technical_score,cement_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,slope_qualification,slope_rank,slope_exception,slope_financial_score,slope_technical_score,slope_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,stakeout_qualification,stakeout_rank,stakeout_exception,stakeout_financial_score,stakeout_technical_score,stakeout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,prefab_qualification,prefab_rank,prefab_exception,prefab_financial_score,prefab_technical_score,prefab_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,communication_qualification,communication_rank,communication_exception,communication_financial_score,communication_technical_score,communication_total_score,substation_qualification,substation_rank,substation_exception,substation_financial_score,substation_technical_score,substation_total_score,date
1676,（株）岡田造園,岡田　充功,兵庫県神戸市北区大沢町市原１９番３,$業者コード$,D,2088, ,737,0,737,,,,,,,,,,,,,A, 115, ,845,846,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,2921, ,721,0,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1677,（株）岡徳建設,岡田　優子,奈良県天理市三昧田町元東方９２番地４,$業者コード$,D, 969, ,924,0,924,C, 658, ,777,0,777,,,,,,,,,,,,,D, 970, ,844,0,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1678,岡野建設工業（株）,今中　大介,兵庫県神戸市西区伊川谷町別府３４－３,$業者コード$,D, 978, ,920,0,920,C, 544, ,803,0,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 585, ,753,0,753,○, 674, ,757,0,757,○,1061, ,796,0,796,,,,,,,○,2075, ,796,0,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1679,（株）オカムラ,中村　雅行,神奈川県横浜市西区北幸１－４－１天理ビル,$業者コード$,D, 822, ,1000,0,1000,,,,,,,,,,,,,,,,,,,D, 116, ,1475,0,1475,,,,,,,C, 332, ,1020,0,1020,C,  45, ,1314,0,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 293, ,1219,0,1219,○, 298, ,1115,0,1115,,,,,,,20190801
1680,（株）岡村建設,岡村　健二,京都府京都市左京区静市市原町５３１－１９,$業者コード$,D,  28, ,912,727,1639,,,,,,,,,,,,,,,,,,,D, 687, ,908,0,908,○, 397, ,846,0,846,,,,,,,,,,,,,,,,,,,○, 600, ,778,0,778,○, 815, ,851,0,851,,,,,,,○,1598, ,856,0,856,,,,,,,○, 467, ,813,0,813,○, 430, ,739,0,739,,,,,,,○, 243, ,846,0,846,,,,,,,,,,,,,,,,,,,20190801
1681,岡本建設（株）,岡本　透,兵庫県宍粟市一宮町上野田２５３,$業者コード$,D,1570, ,808,0,808,C,1122, ,705,0,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1439, ,734,0,734,○,1113, ,668,0,668,○,2781, ,734,0,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1682,（株）岡本設備,岡本　数博,奈良県北葛城郡上牧町米山台５－５－５,$業者コード$,D,1459,-01,823,0,823,C,1403,-01,670,0,670,,,,,,,,,,,,,D,1701,-01,732,0,732,,,,,,,,,,,,,C, 548,-01,839,0,839,,,,,,,,,,,,,,,,,,,,,,,,,○,3029,-02,711,0,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1683,オカモト鐵工（株）,岡本　征雄,福井県福井市上森田１－１０２－２,$業者コード$,D,1014, ,911,0,911,,,,,,,○,  46, ,1087,969,2056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 671, ,868,736,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 321, ,1140,0,1140,,,,,,,,,,,,,20190801
1684,オカモト電気（株）,岡本　隆史,兵庫県西脇市高松町４６７,$業者コード$,D,2680, ,651,0,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C, 207, ,643,608,1251,C,1741, ,642,0,642,,,,,,,,,,,,,,,,,,,,,,,,,○,3716, ,610,0,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 925, ,570,0,570,○, 818, ,658,0,658,20190801
1685,岡安設備工業（有）,岡安　伸二,京都府舞鶴市字寺内１６－４,$業者コード$,D, 654, ,796,480,1276,,,,,,,,,,,,,,,,,,,D,2154, ,667,0,667,,,,,,,,,,,,,B, 177, ,828,942,1770,,,,,,,,,,,,,,,,,,,,,,,,,○,3158, ,697,0,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 834, ,715,0,715,,,,,,,,,,,,,20190801
1686,岡山電設（株）,岡山　秀行,京都府綾部市里町大坂３３－２,$業者コード$,D, 583, ,781,570,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B, 228, ,909,858,1767,B, 240, ,771,818,1589,,,,,,,,,,,,,,,,,,,,,,,,,○, 499, ,854,916,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 610, ,730,0,730,○, 528, ,809,0,809,20190801
1687,（株）小川組,小川　富大,奈良県吉野郡下市町新住１４１－１,$業者コード$,D, 548, ,788,590,1378,C,1056, ,715,0,715,,,,,,,,,,,,,D,1586, ,748,0,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 962, ,691,0,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1688,（株）小川建設,田下　宏彰,東京都新宿区四谷１－４,$業者コード$,D,1164, ,878,0,878,C, 552, ,801,0,801,,,,,,,,,,,,,D, 175, ,1333,0,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1689,（株）小川電気商会,小川　督,京都府綴喜郡井手町大字井手小字北猪ノ阪６番地,$業者コード$,D,2123, ,732,0,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,  特,-02,859,1259,2118,C,  10, ,679,790,1469,,,,,,,,,,,,,,,,,,,,,,,,,○,2503, ,758,0,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 824, ,655,0,655,○, 657, ,758,0,758,20190801
1690,（株）小川電設,小川　元,兵庫県尼崎市西難波町２－４－２７,$業者コード$,D,2369, ,702,0,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C, 402, ,956,0,956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 644, ,719,0,719,○, 486, ,831,0,831,20190801
1691,（株）オキ・コーポレーション,沖山　純子,神奈川県川崎市川崎区殿町２－３－１５,$業者コード$,D, 894,-01,956,0,956,,,,,,,,,,,,,,,,,,,D, 836,-01,871,0,871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1692,（株）沖潮開発,沖潮　吉績,京都府京都市左京区岩倉南池田町７７,$業者コード$,D,1597, ,804,0,804,,,,,,,,,,,,,,,,,,,D, 930, ,851,0,851,○, 359, ,863,0,863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1693,（株）沖田工務店,沖田　勤,大阪府寝屋川市木田元宮２－７－１,$業者コード$,D,2710, ,645,0,645,,,,,,,,,,,,,,,,,,,D,1170, ,807,0,807,○, 462, ,823,0,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,3645, ,625,0,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1694,荻野建設（株）,荻野　憲夫,兵庫県丹波市春日町黒井３９１,$業者コード$,D,1383, ,835,0,835,,,,,,,,,,,,,,,,,,,D, 606, ,932,0,932,○, 295, ,902,0,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,2516, ,757,0,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1695,奥儀建設（株）,奥　宗利,滋賀県東近江市岡田町８１－１,$業者コード$,D,1044, ,902,0,902,B, 102, ,947,1029,1976,,,,,,,B, 800, ,680,0,680,,,,,,,,,,,,,,,,,,,C,1498, ,680,0,680,○, 331, ,827,0,827,,,,,,,○, 947, ,818,0,818,,,,,,,○,1789, ,827,0,827,○, 555, ,680,0,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1696,（株）奥水道商会,奥　泰宏,兵庫県洲本市上物部１－９－９,$業者コード$,D,2666, ,654,0,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C, 808, ,776,0,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1697,（株）オクダ,奥田　隆英,奈良県高市郡明日香村大字飛鳥５１,$業者コード$,D,1834, ,770,0,770,,,,,,,,,,,,,,,,,,,D,   7, ,896,788,1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1698,（有）奥田組,西岡　和希,京都府南丹市園部町城南町ハサマ１７,$業者コード$,D,1874, ,765,0,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1598, ,703,0,703,,,,,,,○,3100, ,703,0,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1699,奥武建設工業（株）,奥村　洋司,福井県福井市大東２－１－５,$業者コード$,D,1695, ,789,0,789,,,,,,,,,,,,,,,,,,,D,1781, ,721,0,721,○,1230, ,657,0,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,3009, ,713,0,713,,,,,,,,,,,,,,,,,,,,,,,,,○, 771, ,642,0,642,,,,,,,,,,,,,,,,,,,20190801
1700,奥田建設工業（株）,奥田　清司,京都府宇治市菟道藪里２３,$業者コード$,D, 990, ,917,0,917,C, 924, ,731,0,731,,,,,,,,,,,,,D, 812, ,877,0,877,○, 342, ,872,0,872,,,,,,,,,,,,,,,,,,,,,,,,,○, 993, ,809,0,809,○, 749, ,726,0,726,○,1883, ,816,0,816,○, 384, ,716,0,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1701,（株）奥谷組,千田　真由美,京都府京都市南区吉祥院向田東町８,$業者コード$,D,2363, ,703,0,703,,,,,,,,,,,,,,,,,,,C, 229, ,1054,833,1887,○,  20, ,931,639,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1702,（株）オクノコトー,奥野　博明,大阪府高槻市大塚町１－１４－１３,$業者コード$,D,1003, ,913,0,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1703,奥村管工（株）,奥村　利樹,滋賀県大津市神領３－１４－７,$業者コード$,D,1291, ,850,0,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C, 368, ,899,0,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1704,奥村建設（株）,巖　忠明,京都府京田辺市興戸東垣内１２－６,$業者コード$,D, 226, ,794,767,1561,C,1073, ,712,0,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,1579, ,669,0,669,○, 833, ,709,0,709,○, 901, ,709,0,709,○,1456, ,731,0,731,,,,,,,○,2824, ,731,0,731,○, 607, ,669,0,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1705,（株）奥村建設工業,奥村　孝治,大阪府東大阪市菱江３－１０－１０,$業者コード$,D,2216, ,722,0,722,C, 112, ,797,646,1443,○, 633, ,725,0,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 611, ,747,0,747,,,,,,,,,,,,,○,1031, ,679,0,679,○,2546, ,754,0,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1706,（株）奥村工務店,奥村　嗣治,滋賀県草津市山寺町１１９６,$業者コード$,D,2032, ,745,0,745,,,,,,,,,,,,,,,,,,,D, 667, ,912,0,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1707,（株）奥村設備,奥村　増一,滋賀県湖南市針２２８－１,$業者コード$,D,2455, ,690,0,690,,,,,,,,,,,,,,,,,,,D,2362, ,616,0,616,,,,,,,,,,,,,C, 949, ,753,0,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 159, ,618,0,618,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1708,（株）オクムラ道路,米田　憲二,大阪府大阪市港区弁天６－１－３,$業者コード$,D,1097, ,890,0,890,B, 274, ,826,873,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,1363, ,696,0,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1709,（株）奥山工務店,奥山　幸生,大阪府吹田市山田東２－８－１５,$業者コード$,D,2994, ,552,0,552,,,,,,,,,,,,,,,,,,,D,2402, ,600,0,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1710,（株）小倉組,小倉　道夫,大阪府摂津市鳥飼野々１－２６－３,$業者コード$,D,1928, ,757,0,757,C,1659, ,625,0,625,,,,,,,,,,,,,D,2257, ,645,0,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,3340, ,675,0,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1711,小倉緑化工業（株）,小倉　一朗,石川県羽咋市兵庫町レ２６－１,$業者コード$,D,  47, ,843,790,1633,,,,,,,,,,,,,B,  24, ,834,687,1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 142, ,907,908,1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1712,（株）オダ産業,小田　一,大阪府吹田市五月が丘南３２番５号,$業者コード$,D,2126, ,732,0,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 684, ,738,0,738,○, 715, ,824,750,1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190801
1713,小田鐵網（株）,成田　昭雄,愛知県名古屋市中川区松葉町３－４１,$業者コード$,D,1423, ,830,0,830,,,,,,,○, 401, ,824,0,824,,,,,,,C, 347, ,824,881,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 917, ,823,0,823,○,1186, ,652,0,652,○, 574, ,938,750,1688,,,,,,,○, 437, ,824,0,824,○, 236, ,824,0,824,,,,,,,,,,,,,○,1019, ,657,0,657,,,,,,,,,,,,,20190801
