,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
1152,中央航業（株）,9030001044150,埼玉県,中小企業, 768,-01,,,,,,,,,20200101
1153,（株）中央工研,3100001013541,長野県,中小企業, 891, ,,, 506, ,,,,,20200101
1154,（株）中央工測事務所,5020001030122,神奈川県,中小企業, 762, ,,,,,,, 811, ,20200101
1155,中央コンサルタンツ（株）,9180001026134,愛知県,大企業, 227, , 539, ,  22, ,  56, , 316, ,20200101
1156,（株）中央ジオマチックス,5011401004138,東京都,中小企業, 496, ,,,,,,,,,20200101
1157,（株）中央設計技術研究所,9220001004250,石川県,大企業, 459, , 493, ,  91, , 479, ,,,20200101
1158,（有）中央測量,8120102002890,大阪府,中小企業, 816, ,,,,,,,,,20200101
1159,（株）中央測量,3100001011859,長野県,中小企業, 808, ,,,1454, , 428, ,,,20200101
1160,中央測量設計（株）,8210001002074,福井県,中小企業, 394, , 777, , 483, , 362, , 215, ,20200101
1161,（株）中央測量設計事務所,4390001009403,山形県,中小企業, 427, ,,, 591, , 267, , 124, ,20200101
1162,中央復建コンサルタンツ（株）,3120001056860,大阪府,大企業, 118, , 290, ,  34, ,  52, , 153, ,20200101
1163,（株）中央補償コンサルタント,8290801002398,福岡県,中小企業,1215, , 870, ,,,,,  59, ,20200101
1164,中外テクノス（株）,5240001006942,広島県,大企業, 472, , 595, , 114, ,,,,,20200101
1165,（株）中建,7180001004876,愛知県,中小企業, 859, ,,,,,,, 430, ,20200101
1166,中国開発調査（株）,6240001006586,広島県,中小企業, 100, ,,, 334, , 215, , 205, ,20200101
1167,中国工務（株）,4240001006588,広島県,中小企業, 498, ,,,1068, ,,, 496, ,20200101
1168,中国水工（株）,3250001003420,山口県,中小企業, 789, ,,, 471, , 306, ,,,20200101
1169,中電技術コンサルタント（株）,6240001006974,広島県,大企業, 138, , 165, ,  27, ,  40, , 506, ,20200101
1170,（株）中日コンサルタント,5200001017200,岐阜県,中小企業, 621, ,,, 796, ,,, 397, ,20200101
1171,（株）中部ウエルボーリング社,2180001004674,愛知県,中小企業, 923, ,,,1150, , 158, ,,,20200101
1172,（株）中部コンサルタント,3230001010476,富山県,中小企業, 734, , 994, ,1272, ,,, 115, ,20200101
1173,（株）中部森林技術コンサルタンツ,5180001063395,愛知県,中小企業, 754, ,,, 586, , 747, , 776, ,20200101
1174,（株）中部設計,4230001001730,富山県,中小企業, 916, , 335, , 864, ,,,,,20200101
1175,（株）中部綜合コンサルタント,8080401003149,静岡県,中小企業, 207, , 787, , 308, , 372, , 309, ,20200101
1176,（株）中部測地研究所,2100001018491,長野県,中小企業, 931, ,,,1129, , 204, ,,,20200101
1177,中部測量（株）,1100001013592,長野県,中小企業, 430, ,,, 790, ,,, 202, ,20200101
1178,（一社）中部地域づくり協会,8180005005127,愛知県,公益法人, 467, , 763, , 347, ,,,,,20200101
1179,中部地下開発（株）,1220001004282,石川県,中小企業, 943, ,,,1049, , 354, ,,,20200101
1180,中部地質（株）,9220001004283,石川県,中小企業, 932, ,,, 600, ,  51, ,,,20200101
1181,（株）中部テクノス,8180001002400,愛知県,中小企業, 286, ,,,1519, ,,,,,20200101
1182,（株）中部テック,1180001002423,愛知県,中小企業, 126, ,,, 330, , 481, ,  35, ,20200101
1183,中部土地調査（株）,7180001026193,愛知県,中小企業, 208, ,,,,,,, 111, ,20200101
1184,（株）中部日本測量社,2100001013600,長野県,中小企業, 837, ,,,1487, ,,, 486, ,20200101
1185,中部復建（株）,1180001008817,愛知県,中小企業, 143, , 718, , 246, , 455, ,  92, ,20200101
1186,（株）中和測量設計社,2150001010717,奈良県,中小企業, 869, ,,,1422, ,,, 518, ,20200101
1187,（株）長大,5010001050435,東京都,大企業, 256, , 200, ,  16, ,  54, ,,,20200101
1188,（株）長大テック,2010001080831,東京都,大企業, 738, ,,, 294, ,,,,,20200101
1189,（株）千代田コンサルタント,5011501013443,東京都,大企業, 247, , 564, ,  54, , 220, , 378, ,20200101
1190,通信土木コンサルタント（株）,7010601036484,東京都,大企業, 199, ,,,  77, ,,,,,20200101
1191,司開発（株）,3180301014240,愛知県,中小企業, 437, ,,, 783, ,,, 194, ,20200101
1192,（株）つかもと,3180001074510,愛知県,中小企業, 629, ,,,1239, ,,, 204, ,20200101
1193,（株）土屋測量設計,4080101009061,静岡県,中小企業, 641, ,,,1106, ,,, 408, ,20200101
1194,（株）ツルタコンサルタント,9080001003440,静岡県,中小企業, 197, ,,, 518, , 588, , 301, ,20200101
1195,（株）ティーネットジャパン,6470001002109,香川県,大企業, 259, , 566, ,  24, , 543, , 577, ,20200101
1196,ティ・ケイエンジ（株）,5370001001971,宮城県,中小企業,1053, , 940, , 582, , 675, ,,,20200101
1197,（株）テイコク,7200001003487,岐阜県,大企業,  25, , 500, ,  83, , 106, ,  39, ,20200101
1198,（株）帝国コンサルタント,8210001011810,福井県,中小企業, 124, ,,, 210, , 164, , 306, ,20200101
1199,（株）データ技研,9170001005386,和歌山県,中小企業, 682, ,,, 540, , 625, ,,,20200101
1200,（株）データ設計,8010001094438,東京都,中小企業,1181, ,,, 874, ,,,,,20200101
